PLAYER,2020_Runs
David Warner,619
KL Rahul,545
Quinton de Kock,497
Shikhar Dhawan,490
Andre Russell,505
Chris Gayle,481
Rishabh Pant,465
Virat Kohli,439
Shreyas Iyer,435
Jonny Bairstow,434
AB de Villiers,428
Suryakumar Yadav,406
MS Dhoni,398
Chris Lynn,407
Rohit Sharma,400
Hardik Pandya,403
Shane Watson,394
Faf du Plessis,379
Ajinkya Rahane,377
Suresh Raina,371
Parthiv Patel,369
Prithvi Shaw,351
Manish Pandey,328
Nitish Rana,346
Sanju Samson,332
Mayank Agarwal,325
Steve Smith,303
Jos Buttler,258
Shubman Gill,288
Ambati Rayudu,271
Robin Uthappa,289
Kieron Pollard,292
Dinesh Karthik,272
Vijay Shankar,245
Moeen Ali,253
David Miller,227
Marcus Stoinis,225
Colin Ingram,201
Krunal Pandya,196
Sarfaraz Khan,152
Nicholas Pooran,142
Mandeep Singh,165
Kedar Jadhav,181
Riyan Parag,135
Kane Williamson,169
Sunil Narine,193
Rahul Tripathi,120
Ben Stokes,137
Mohammad Nabi,99
Axar Patel,134
Ravindra Jadeja,127
Ishan Kishan,88
Yuvraj Singh,85
Gurkeerat Mann Singh,85
Sam Curran,83
Shimron Hetmyer,79
Wriddhiman Saha,75
Colin Munro,74
Martin Guptill,71
Dwayne Bravo,71
Sherfane Rutherford,65
Liam Livingstone,63
Stuart Binny,62
Jofra Archer,60
Deepak Hooda,58
Murali Vijay,58
Shreyas Gopal,57
Akshdeep Nath,55
Evin Lewis,45
Colin de Grandhomme,43
Piyush Chawla,40
Ravichandran Ashwin,40
Shivam Dube,38
Yusuf Pathan,38
Rinku Singh,36
Rashid Khan,33
Chris Morris,32
Mitchell Santner,32
Rahul Tewatia,27
Umesh Yadav,26
Amit Mishra,23
Harpreet Brar,22
Prayas Ray Barman,21
Keemo Paul,20
Ben Cutting,20
Krishnappa Gowtham,20
Simran Singh,19
Alzarri Joseph,18
Siddhesh Lad,18
Shardul Thakur,17
Kagiso Rabada,17
Bhuvneshwar Kumar,15
Kuldeep Yadav,15
Rahul Chahar,15
Mitchell McClenaghan,15
Carlos Brathwaite,15
Ishant Sharma,14
Shakib Al Hasan,13
Pawan Negi,13
Tim Southee,13
